model	gene	region	rho	n	ci_lo	ci_hi
cadd_phred	BRCA1	all	0.4927	3524	0.4673	0.5173
cadd_phred	BRCA2	all	0.5094	3604	0.4849	0.5332
cadd_phred	BARD1	all	0.436	3160	0.4073	0.4638
cadd_phred	PALB2	all	0.3319	4011	0.304	0.3591
cadd_phred	RAD51C	all	0.5308	1771	0.4965	0.5634
cadd_phred	VHL	all	0.4734	1067	0.4255	0.5187
cadd_phred	BAP1	all	0.3266	2760	0.2928	0.3595
cadd_phred	BRCA1	splice	0.6278	507	0.572	0.6778
cadd_phred	BRCA2	splice	0.7381	264	0.6777	0.7885
cadd_phred	BARD1	splice	0.7561	183	0.6863	0.8121
cadd_phred	PALB2	splice	0.6725	230	0.5949	0.7377
cadd_phred	RAD51C	splice	0.6802	160	0.587	0.7556
cadd_phred	VHL	splice	0.7306	55	0.5771	0.8342
cadd_phred	BAP1	splice	0.6838	245	0.6108	0.7453
cadd_phred	BRCA1	splice_core	0.3488	141	0.1947	0.4861
cadd_phred	BRCA2	splice_core	0.3306	107	0.1502	0.4897
cadd_phred	BARD1	splice_core	0.0805	69	-0.1592	0.3112
cadd_phred	PALB2	splice_core	-0.0693	95	-0.2671	0.1341
cadd_phred	RAD51C	splice_core	0.1022	50	-0.1813	0.37
cadd_phred	VHL	splice_core	0.4427	19	-0.0144	0.7468
cadd_phred	BAP1	splice_core	0.2736	71	0.043	0.4765
cadd_phred	BRCA1	splice_region	0.3855	366	0.2946	0.4694
cadd_phred	BRCA2	splice_region	0.432	157	0.2953	0.5513
cadd_phred	BARD1	splice_region	0.4745	114	0.3184	0.6056
cadd_phred	PALB2	splice_region	0.2862	135	0.1232	0.4341
cadd_phred	RAD51C	splice_region	0.4356	110	0.2704	0.5759
cadd_phred	VHL	splice_region	0.2129	36	-0.1244	0.506
cadd_phred	BAP1	splice_region	0.3095	174	0.1685	0.4381
cadd_phred	BRCA1	intronic	0.0779	450	-0.0146	0.1691
cadd_phred	BRCA2	intronic	0.1477	47	-0.1457	0.4171
cadd_phred	BARD1	intronic	-0.033	191	-0.1742	0.1095
cadd_phred	PALB2	intronic	0.0693	148	-0.0931	0.2281
cadd_phred	RAD51C	intronic	-0.1132	170	-0.2593	0.0379
cadd_phred	VHL	intronic	0.1452	133	-0.0257	0.3078
cadd_phred	BAP1	intronic	0.0387	316	-0.0719	0.1484
cadd_phred	BRCA1	coding	0.544	2512	0.5159	0.571
cadd_phred	BRCA2	coding	0.4949	3285	0.4686	0.5203
cadd_phred	BARD1	coding	0.4253	2771	0.3943	0.4553
cadd_phred	PALB2	coding	0.3013	3606	0.2713	0.3307
cadd_phred	RAD51C	coding	0.5824	1414	0.5469	0.6159
cadd_phred	VHL	coding	0.5114	863	0.4604	0.5591
cadd_phred	BAP1	coding	0.3358	2172	0.2979	0.3726
cadd_phred	BRCA1	missense	0.4737	1919	0.4383	0.5077
cadd_phred	BRCA2	missense	0.3841	1940	0.3455	0.4214
cadd_phred	BARD1	missense	0.3235	1900	0.2827	0.3632
cadd_phred	PALB2	missense	0.1898	2448	0.1513	0.2277
cadd_phred	RAD51C	missense	0.5877	991	0.5454	0.6271
cadd_phred	VHL	missense	0.563	598	0.5057	0.6154
cadd_phred	BAP1	missense	0.2887	1366	0.2393	0.3365
alphamissense	BRCA1	all	0.5615	2077	0.5313	0.5903
alphamissense	BRCA2	all	0.417	2030	0.3804	0.4523
alphamissense	BARD1	all	0.3854	2026	0.3477	0.4219
alphamissense	PALB2	all	0.2217	2652	0.1852	0.2576
