model	region	meta_rho	ci_lo	ci_hi	I2_pct	tau2	k_genes	total_n
cadd_phred	all	0.4456	0.3807	0.5061	96.8	0.0108	7	19897
cadd_phred	splice	0.6942	0.6535	0.7308	52.7	0.0051	7	1644
cadd_phred	splice_core	0.2074	0.0675	0.3394	61.0	0.0215	7	552
cadd_phred	splice_region	0.3784	0.3243	0.4301	4.2	0.0003	7	1092
cadd_phred	intronic	0.0383	-0.0227	0.0989	22.2	0.0015	7	1455
cadd_phred	coding	0.4612	0.3789	0.5361	97.6	0.0177	7	16623
cadd_phred	missense	0.4093	0.3013	0.507	97.7	0.0272	7	11162
alphamissense	all	0.4711	0.3489	0.5775	98.5	0.0388	7	11926
alphamissense	splice						0	1
alphamissense	splice_core						0	1
alphamissense	splice_region						0	0
alphamissense	intronic						0	0
alphamissense	coding	0.4713	0.3491	0.5777	98.5	0.0388	7	11917
alphamissense	missense	0.4711	0.3491	0.5774	98.5	0.0387	7	11906
phylop100way	all	0.3484	0.2783	0.4147	96.9	0.0106	7	21410
phylop100way	splice	0.639	0.6074	0.6687	14.9	0.0007	7	1781
phylop100way	splice_core	0.029	-0.094	0.1511	51.6	0.0136	7	590
phylop100way	splice_region	0.3324	0.2505	0.4095	53.5	0.0074	7	1191
phylop100way	intronic	0.0396	-0.0301	0.1089	42.6	0.0036	7	1581
phylop100way	coding	0.3379	0.2615	0.4101	96.9	0.0124	7	17850
phylop100way	missense	0.3259	0.2346	0.4115	96.6	0.0172	7	11979
phastcons100way	all	0.2602	0.1979	0.3204	95.7	0.0075	7	21410
phastcons100way	splice	0.6122	0.5633	0.6569	56.7	0.0055	7	1781
phastcons100way	splice_core	0.1206	0.0213	0.2176	28.2	0.0044	6	590
phastcons100way	splice_region	0.335	0.269	0.3979	31.4	0.0029	7	1191
phastcons100way	intronic	0.0744	-0.0091	0.1569	59.6	0.0071	7	1581
phastcons100way	coding	0.24	0.17	0.3075	95.8	0.0092	7	17850
phastcons100way	missense	0.2544	0.1776	0.3282	94.9	0.0111	7	11979
spliceai_ds	all	0.2048	0.1619	0.2469	90.5	0.0032	7	21410
spliceai_ds	splice	0.753	0.7182	0.784	57.8	0.0057	7	1781
spliceai_ds	splice_core	0.1959	0.0764	0.3099	50.6	0.0131	7	590
spliceai_ds	splice_region	0.5117	0.4013	0.6074	81.1	0.0275	7	1191
spliceai_ds	intronic	0.1397	0.0517	0.2255	64.2	0.0086	7	1581
spliceai_ds	coding	0.1262	0.0913	0.1608	81.8	0.0018	7	17850
spliceai_ds	missense	0.1084	0.0656	0.1509	81.9	0.0027	7	11979
pangolin_score	all	0.2256	0.1758	0.2742	93.1	0.0045	7	21410
pangolin_score	splice	0.7613	0.7292	0.79	53.5	0.0048	7	1781
pangolin_score	splice_core	0.198	0.0456	0.3415	69.3	0.0288	7	590
pangolin_score	splice_region	0.516	0.4204	0.6004	75.4	0.0196	7	1191
pangolin_score	intronic	0.18	0.1316	0.2275	0.0	0.0	7	1581
pangolin_score	coding	0.1491	0.1068	0.1908	87.8	0.0029	7	17850
pangolin_score	missense	0.0889	0.048	0.1294	79.9	0.0024	7	11979
alphagenome_splice	all	0.1898	0.1408	0.2378	92.7	0.0042	7	21410
alphagenome_splice	splice	0.7502	0.7144	0.7821	59.4	0.0061	7	1781
alphagenome_splice	splice_core	0.147	-0.0495	0.3324	81.2	0.0552	7	590
alphagenome_splice	splice_region	0.5288	0.4328	0.6129	76.3	0.0206	7	1191
alphagenome_splice	intronic	0.1517	0.0825	0.2195	43.3	0.0037	7	1581
alphagenome_splice	coding	0.1166	0.0818	0.1512	81.7	0.0018	7	17850
alphagenome_splice	missense	0.1014	0.0653	0.1372	74.3	0.0017	7	11979
gpn_msa_score	all	0.4145	0.3295	0.4928	98.1	0.0174	7	21410
gpn_msa_score	splice	0.6655	0.6386	0.6907	0.0	0.0	7	1781
gpn_msa_score	splice_core	0.1408	0.0279	0.2502	43.6	0.0099	7	590
gpn_msa_score	splice_region	0.3958	0.2975	0.4857	70.2	0.0151	7	1191
gpn_msa_score	intronic	0.0768	0.0126	0.1403	33.6	0.0024	7	1581
gpn_msa_score	coding	0.4148	0.3136	0.5067	98.4	0.0244	7	17850
gpn_msa_score	missense	0.4032	0.2944	0.5017	97.9	0.0274	7	11979
gnomad_af_global	all	0.0787	0.0311	0.1259	77.0	0.0031	7	7708
gnomad_af_global	splice	0.1862	0.0692	0.2982	43.9	0.0111	7	526
gnomad_af_global	splice_core	-0.0347	-0.2646	0.1989	38.4	0.0332	6	135
gnomad_af_global	splice_region	0.1003	-0.0437	0.2402	47.8	0.0177	7	391
gnomad_af_global	intronic	0.0489	-0.0312	0.1285	0.0	0.0	7	618
gnomad_af_global	coding	0.0726	0.0151	0.1297	81.1	0.0048	7	6464
gnomad_af_global	missense	0.0775	0.0317	0.1229	55.5	0.0021	7	4375
gnomad_af_popmax	all	0.0786	0.0326	0.1242	75.3	0.0028	7	7708
gnomad_af_popmax	splice	0.1761	0.0203	0.3235	67.7	0.0296	7	526
gnomad_af_popmax	splice_core	-0.0427	-0.2571	0.1758	29.3	0.0221	6	135
gnomad_af_popmax	splice_region	0.1325	0.0044	0.2564	35.1	0.0104	7	391
gnomad_af_popmax	intronic	0.0414	-0.0838	0.1654	51.0	0.0132	7	618
gnomad_af_popmax	coding	0.0704	0.019	0.1215	76.3	0.0036	7	6464
gnomad_af_popmax	missense	0.0739	0.028	0.1195	55.7	0.0021	7	4375
nucleotide_transformer	all	0.1165	0.0804	0.1522	85.9	0.002	7	21410
nucleotide_transformer	splice	0.4942	0.3736	0.5985	89.3	0.035	7	1781
nucleotide_transformer	splice_core	0.0629	-0.0806	0.2039	64.3	0.023	7	590
nucleotide_transformer	splice_region	0.2206	0.1274	0.31	59.7	0.0095	7	1191
nucleotide_transformer	intronic	0.0299	-0.0197	0.0794	0.0	0.0	7	1581
nucleotide_transformer	coding	0.0667	0.0304	0.1028	82.8	0.0019	7	17850
nucleotide_transformer	missense	-0.003	-0.0418	0.0359	77.6	0.0021	7	11979
