model	auroc	ci_lo	ci_hi	n_abnormal	n_normal	note
cadd_phred	0.7807	0.767	0.7945	1197	6137	EXPLORATORY
alphamissense	0.8411	0.829	0.8533	1101	6135	EXPLORATORY
phylop100way	0.7236	0.7101	0.737	1267	6584	EXPLORATORY
phastcons100way	0.692	0.68	0.7032	1267	6584	EXPLORATORY
spliceai_ds	0.6104	0.5936	0.6273	1267	6584	EXPLORATORY
pangolin_score	0.6052	0.5875	0.6221	1267	6584	EXPLORATORY
alphagenome_splice	0.6413	0.6238	0.6584	1267	6584	EXPLORATORY
gpn_msa_score	0.7633	0.7503	0.7762	1267	6584	EXPLORATORY
gnomad_af_global	0.499	0.467	0.5322	361	2142	EXPLORATORY
gnomad_af_popmax	0.508	0.4753	0.5408	361	2142	EXPLORATORY
