predictor	all (scored/total)	splice (scored/total)	intronic (scored/total)	coding (scored/total)	missense (scored/total)
Pangolin	21410/21410	1781/1781	1581/1581	17850/17850	11979/11979
SpliceAI	21410/21410	1781/1781	1581/1581	17850/17850	11979/11979
AlphaGenome	21410/21410	1781/1781	1581/1581	17850/17850	11979/11979
CADD	19897/21410	1644/1781	1455/1581	16623/17850	11162/11979
GPN-MSA	21410/21410	1781/1781	1581/1581	17850/17850	11979/11979
phyloP	21410/21410	1781/1781	1581/1581	17850/17850	11979/11979
phastCons	21410/21410	1781/1781	1581/1581	17850/17850	11979/11979
Nucleotide Transformer	21410/21410	1781/1781	1581/1581	17850/17850	11979/11979
gnomAD AF (global)	7708/21410	526/1781	618/1581	6464/17850	4375/11979
gnomAD AF (popmax)	7708/21410	526/1781	618/1581	6464/17850	4375/11979
AlphaMissense	11926/21410	1/1781	0/1581	11917/17850	11906/11979
