predictor	BRCA1	BRCA2	BARD1	PALB2	RAD51C	VHL	BAP1
Pangolin	0.7407	0.7622	0.8377	0.7263	0.7255	0.7532	0.7693
SpliceAI	0.7507	0.7722	0.8195	0.6746	0.7465	0.7835	0.7281
AlphaGenome	0.7312	0.7347	0.8312	0.7144	0.752	0.8007	0.7102
CADD	0.6278	0.7381	0.7561	0.6725	0.6802	0.7306	0.6838
GPN-MSA	0.6496	0.6796	0.6736	0.6302	0.7136	0.7056	0.6667
phyloP	0.6052	0.6758	0.6675	0.5756	0.6735	0.6909	0.6525
phastCons	0.5904	0.6901	0.5425	0.5454	0.5794	0.7203	0.6474
Nucleotide Transformer	0.2555	0.5111	0.5266	0.4277	0.4677	0.604	0.6482
gnomAD AF (global)	0.1807	0.264	0.245	-0.063	0.0288	0.4	0.329
gnomAD AF (popmax)	0.2861	0.2494	0.1123	-0.1564	-0.0083	0.5127	0.3314
AlphaMissense	—	—	—	—	—	—	—
