predictor	AUROC splice (incl BRCA1)	AUROC splice (excl BRCA1)	AUPRC splice (incl BRCA1)	AUPRC splice (excl BRCA1)
Pangolin	0.999 (0.999–1.000)	0.999 (0.998–1.000)	1.000 (0.999–1.000)	0.999 (0.999–1.000)
SpliceAI	0.998 (0.996–0.999)	0.997 (0.995–0.999)	0.998 (0.997–0.999)	0.998 (0.996–0.999)
AlphaGenome	0.997 (0.995–0.999)	0.997 (0.995–0.999)	0.998 (0.996–0.999)	0.998 (0.996–0.999)
CADD	0.994 (0.990–0.997)	0.998 (0.996–0.999)	0.996 (0.994–0.998)	0.999 (0.997–1.000)
GPN-MSA	0.976 (0.968–0.984)	0.977 (0.967–0.986)	0.985 (0.978–0.990)	0.983 (0.975–0.990)
phyloP	0.977 (0.969–0.985)	0.984 (0.977–0.991)	0.986 (0.979–0.990)	0.988 (0.983–0.993)
phastCons	0.949 (0.935–0.964)	0.954 (0.937–0.969)	0.943 (0.925–0.961)	0.943 (0.920–0.963)
Nucleotide Transformer	0.828 (0.802–0.854)	0.872 (0.848–0.895)	0.889 (0.866–0.909)	0.910 (0.889–0.929)
gnomAD AF (global)	0.653 (0.591–0.717)	0.664 (0.594–0.735)	0.582 (0.495–0.673)	0.585 (0.489–0.689)
gnomAD AF (popmax)	0.643 (0.581–0.702)	0.628 (0.558–0.694)	0.577 (0.495–0.667)	0.554 (0.465–0.657)
AlphaMissense	—	—	—	—
